Product_ID,Product_Name,Units_Sold,Price,Month,Opening_Stock,Month_Num,Total_Sales_Value,Revenue_Per_Unit,Remaining_Stock,Stock_Turnover_Rate
P001,Rice,130,60,Jan,200,1,7800,60.0,70,65.0
P001,Rice,125,60,Feb,190,2,7500,60.0,65,65.78947368421053
P001,Rice,140,60,Mar,180,3,8400,60.0,40,77.77777777777779
P001,Rice,110,60,Apr,170,4,6600,60.0,60,64.70588235294117
P001,Rice,145,60,May,160,5,8700,60.0,15,90.625
P001,Rice,135,60,Jun,150,6,8100,60.0,15,90.0
P003,Soap,150,35,Jan,220,1,5250,35.0,70,68.18181818181817
P003,Soap,140,35,Feb,210,2,4900,35.0,70,66.66666666666666
P003,Soap,130,35,Mar,200,3,4550,35.0,70,65.0
P003,Soap,120,35,Apr,190,4,4200,35.0,70,63.1578947368421
P003,Soap,125,35,May,180,5,4375,35.0,55,69.44444444444444
P003,Soap,115,35,Jun,170,6,4025,35.0,55,67.64705882352942
P006,Tea,105,80,May,120,5,8400,80.0,15,87.5
P007,Toothpaste,110,50,Jan,180,1,5500,50.0,70,61.11111111111112
P007,Toothpaste,115,50,Feb,170,2,5750,50.0,55,67.64705882352942
P007,Toothpaste,120,50,Mar,160,3,6000,50.0,40,75.0
P007,Toothpaste,125,50,Apr,150,4,6250,50.0,25,83.33333333333334
P007,Toothpaste,130,50,May,140,5,6500,50.0,10,92.85714285714286
P007,Toothpaste,115,50,Jun,130,6,5750,50.0,15,88.46153846153845
P008,Wheat,140,55,Jan,210,1,7700,55.0,70,66.66666666666666
P008,Wheat,135,55,Feb,200,2,7425,55.0,65,67.5
P008,Wheat,130,55,Mar,190,3,7150,55.0,60,68.42105263157895
P008,Wheat,145,55,Apr,180,4,7975,55.0,35,80.55555555555556
P008,Wheat,150,55,May,170,5,8250,55.0,20,88.23529411764706
P008,Wheat,140,55,Jun,160,6,7700,55.0,20,87.5
P011,Biscuits,200,20,Jan,400,1,4000,20.0,200,50.0
P011,Biscuits,180,20,Feb,380,2,3600,20.0,200,47.368421052631575
P011,Biscuits,190,20,Mar,360,3,3800,20.0,170,52.77777777777778
P011,Biscuits,210,20,Apr,340,4,4200,20.0,130,61.76470588235294
P011,Biscuits,195,20,May,320,5,3900,20.0,125,60.9375
P011,Biscuits,205,20,Jun,300,6,4100,20.0,95,68.33333333333333
P012,Cold Drink,170,30,Jan,300,1,5100,30.0,130,56.66666666666666
P012,Cold Drink,160,30,Feb,290,2,4800,30.0,130,55.172413793103445
P012,Cold Drink,175,30,Mar,280,3,5250,30.0,105,62.5
P012,Cold Drink,180,30,Apr,270,4,5400,30.0,90,66.66666666666666
P012,Cold Drink,185,30,May,260,5,5550,30.0,75,71.15384615384616
P012,Cold Drink,190,30,Jun,250,6,5700,30.0,60,76.0
P013,Snacks,160,25,Jan,280,1,4000,25.0,120,57.14285714285714
P013,Snacks,155,25,Feb,270,2,3875,25.0,115,57.407407407407405
P013,Snacks,170,25,Mar,260,3,4250,25.0,90,65.38461538461539
P013,Snacks,165,25,Apr,250,4,4125,25.0,85,66.0
P013,Snacks,175,25,May,240,5,4375,25.0,65,72.91666666666666
P013,Snacks,160,25,Jun,230,6,4000,25.0,70,69.56521739130434
